sigla,nombre,creditos,busqueda
AAC101,Botánica,10,botanica
AAC110,Suelos y Fertilidad,10,suelos y fertilidad
AAC111,Agua y Riego,10,agua y riego
AAC112,Climatología,10,climatologia
AAC200,Mecanización,10,mecanizacion
AAC201,Estadística,10,estadistica
AAC202,Ecología Agropecuaria,10,ecologia agropecuaria
AAC203,Genética y Biotecnología,10,genetica y biotecnologia
AAC210,Fisiología de Producción Vegetal,10,fisiologia de produccion vegetal
AAC211,Protección de Plantas,10,proteccion de plantas
AAC220,Fisiología y Nutrición Animal,10,fisiologia y nutricion animal
AAC231,Administración,10,administracion
AAC290,Formulación y Evaluación de Proyectos,10,formulacion y evaluacion de proyectos
AAC300,Seminario de Título,10,seminario de titulo
AAE201,Análisis de Decisiones,10,analisis de decisiones
AAE205,Comercialización Agropecuaria,10,comercializacion agropecuaria
AAE301,Gestión de Rr Hh,10,gestion de rr hh
AAE302,Desarrollo Económico de la Agricultura,10,desarrollo economico de la agricultura
AAE303,Estrategia Empresarial,10,estrategia empresarial
AAE304,Gestión de Operaciones,10,gestion de operaciones
AAE305,Economía de los Recursos Naturales I,10,economia de los recursos naturales 1
AAF201,Fruticultura,10,fruticultura
AAF202,Viticultura,10,viticultura
AAF203,Frutales Menores,10,frutales menores
AAF210,Patología Frutal,10,patologia frutal
AAF211,Entomología Frutal,10,entomologia frutal
AAF301,Vinificación,10,vinificacion
AAF302,Frutales de Hoja Caduca,10,frutales de hoja caduca
AAF303,Enología I,10,enologia 1
AAF304,Frutales de Hoja Persistente,10,frutales de hoja persistente
AAF305,Taller de Vinificación y Analítica del Vino,10,taller de vinificacion y analitica del vino
AAF306,Nutrición y Fertilización Frutal,10,nutricion y fertilizacion frutal
AAF307,Postcosecha de Fruta,10,postcosecha de fruta
AAF308,Enología II,10,enologia 2
AAF309,Taller Evaluación Sensorial,10,taller evaluacion sensorial
AAF311,Tecnología de Riego,10,tecnologia de riego
AAP005,Taller de Habitos y Estrategias de Estudio,5,taller de habitos y estrategias de estudio
AAP010,Desafíos de la Agricultura,5,desafios de la agricultura
AAP011,Geomensura,5,geomensura
AAP012,Dendrología,5,dendrologia
AAP013,Liderazgo y Trabajo en Equipo,5,liderazgo y trabajo en equipo
AAP014,Espiritu Emprendedor,5,espiritu emprendedor
AAP015,Tópicos Administración Agroindustrial,5,topicos administracion agroindustrial
AAP016,Manejo de Cultivos,5,manejo de cultivos
AAP017,Manejo de Especies Frutales,5,manejo de especies frutales
AAP018,Manejo de Especies Animales,5,manejo de especies animales
AAP020,Actualidad Económica,5,actualidad economica
AAP080,Agricultura Orgánica,10,agricultura organica
AAP100,Práctica de Verano 1,0,practica de verano 1
AAP110,Enfrentando la Pobreza,10,enfrentando la pobreza
AAP120,Gestión Medio Ambiental,10,gestion medio ambiental
AAP200,Práctica de Verano 2,0,practica de verano 2
AAP210,Taller,5,taller
AAR201,"Aerofotogrametría, Sig",10,"aerofotogrametria, sig"
AAR202,Silvicultura,10,silvicultura
AAR203,Dasometría,10,dasometria
AAR204,Propiedades e Industrias de la Madera,10,propiedades e industrias de la madera
AAR206,Manejo Forestal,10,manejo forestal
AAR207,Cosecha Forestal,10,cosecha forestal
AAR311,Manejo de Áreas Protegidas,10,manejo de areas protegidas
AAR332,Política Forestal,10,politica forestal
AAR337,Silvicultura Avanzada,10,silvicultura avanzada
AAV201,Producción de Cultivos,10,produccion de cultivos
AAV202,Principios de Mejoramiento Genetico,10,principios de mejoramiento genetico
AAV203,Producción de Flores y Ornamentales,10,produccion de flores y ornamentales
AAV204,Producción de Semillas,10,produccion de semillas
AAV205,Horticultura,10,horticultura
AAV206,Manejo y Diseño del Paisaje,10,manejo y diseno del paisaje
AAV210,Patología de Cultivos,10,patologia de cultivos
AAV211,Entomología de Cultivos,10,entomologia de cultivos
AAV220,Flora Nativa,10,flora nativa
AAV301,Nutrición de Cultivos,10,nutricion de cultivos
AAV302,Postcosecha de Cultivos,10,postcosecha de cultivos
AAV303,Biología y Manejo de Malezas,10,biologia y manejo de malezas
AAZ201,Fisiología y Nutrición Animal (AAZ201),10,fisiologia y nutricion animal (aaz201)
AAZ202,Nutrición y Metabolismo Animal,10,nutricion y metabolismo animal
AAZ203,Forrajeras y Manejo de Praderas,10,forrajeras y manejo de praderas
AAZ204,Calidad y Sanidad de Productos Pecuarios,10,calidad y sanidad de productos pecuarios
AAZ205,Reproducción y Mejoramiento,10,reproduccion y mejoramiento
AAZ206,Introducción a la Biología de la Conservación,10,introduccion a la biologia de la conservacion
AAZ210,Acuicultura,10,acuicultura
AAZ220,Fauna Silvestre,10,fauna silvestre
AAZ301,Fisiología Animal Avanzada,10,fisiologia animal avanzada
AAZ307,Bienestar Animal,10,bienestar animal
ACG1020,Fgh Adiestramiento Vocal Oradores,5,fgh adiestramiento vocal oradores
ACG1050,Fgh la Experiencia Teatral,5,fgh la experiencia teatral
ACG1060,Fgh Teatro Chileno Contemporáneo,5,fgh teatro chileno contemporaneo
ACG1070,Fgh Dramaturgia,5,fgh dramaturgia
ACO0310,La Escena Interna I,10,la escena interna 1
ACO0312,La Escena Interna II,10,la escena interna 2
ACO1110,Mascara I,5,mascara 1
ACO1170,Mascara II,5,mascara 2
ACO1230,Práctica Teatral I,8,practica teatral 1
ACO1240,Seminario Abierto I,5,seminario abierto 1
ACO1250,Seminario Abierto II,5,seminario abierto 2
ACO1270,Técnicas de Expresión Verbal,10,tecnicas de expresion verbal
ACO1280,Práctica Teatral II,8,practica teatral 2
ACO1310,Grandes Creadores del Teatro Moderno,10,grandes creadores del teatro moderno
ACO1660,Taller de Escenografía,8,taller de escenografia
ACO2000,Metodología de la Investigación Artística,10,metodologia de la investigacion artistica
ACO2010,Esgrima,10,esgrima
ACO2030,Teatro de Objetos,10,teatro de objetos
ACO2060,Crítica Teatral,10,critica teatral
ACO2080,Taller la Dramaturgia del Espacio,10,taller la dramaturgia del espacio
ACO2090,Introducción a la Voz,10,introduccion a la voz
ACO210E,Escena Interna I,10,escena interna 1
ACO212E,Escena Interna II,10,escena interna 2
ACO213E,La Escena Interna,10,la escena interna
ACO214E,Pedagogía Teatral,10,pedagogia teatral
ACO216E,Dramaturgia Alemana Contemporánea (Texto y Consecuencias Escénicas),10,dramaturgia alemana contemporanea (texto y consecuencias escenicas)
ACO220E,"Rito, Arte y Hermeneutica",10,"rito, arte y hermeneutica"
ACO224,Seminario Abierto,10,seminario abierto
ACO226E,Introducción a la Dirección,10,introduccion a la direccion
ACO228E,Caracterización Interna,10,caracterizacion interna
ACO2290,Teatro Latinoamericano,6,teatro latinoamericano
ACO230E,Actuación Frente a Camara,10,actuacion frente a camara
ACO232E,Producción,10,produccion
ACO236E,Taller Avanzado de Dramaturgia,10,taller avanzado de dramaturgia
ACO2390,Mascara,8,mascara
ACO2391,Mascara II (ACO2391),6,mascara 2 (aco2391)
ACO242E,Bailes de Salon,10,bailes de salon
ACO244E,Taller de Creación Colectiva,10,taller de creacion colectiva
ACO2490,Movimiento Sicologico,6,movimiento sicologico
ACO250E,Maquillaje Teatral,10,maquillaje teatral
ACO252E,Teatro Oriental,10,teatro oriental
ACO254E,Taller de Danza Butoh,10,taller de danza butoh
ACO256E,Improvisación y Mascara,10,improvisacion y mascara
ACO260E,Crítica,10,critica
ACO262E,Taller de Montaje de Texto Clásico,10,taller de montaje de texto clasico
ACO264E,Habilidades Comunicativas Orales,10,habilidades comunicativas orales
ACO266E,Taller de Iniciación al Movimiento,10,taller de iniciacion al movimiento
ACO268E,Taller Acrobacia Nivel Iniciación,10,taller acrobacia nivel iniciacion
ACO270E,Taller Acrobacia Nivel Avanzado,10,taller acrobacia nivel avanzado
ACO271,Laboratorio de Practicas Performativas,10,laboratorio de practicas performativas
ACO272E,Teatro Oriental II,10,teatro oriental 2
ACO274E,Bailes de Salon: Hombres,10,bailes de salon: hombres
ACO276E,Bailes de Salon: Mujeres,10,bailes de salon: mujeres
ACO278E,Del Cubismo al Happening,10,del cubismo al happening
ACO2791,Producción (ACO2791),6,produccion (aco2791)
ACO280E,Espacio Escenico y Percepción,10,espacio escenico y percepcion
ACO284E,Teoría y Práctica de la Meditación,10,teoria y practica de la meditacion
ACO286E,Cuerpo y Espacio Escenico,10,cuerpo y espacio escenico
ACO288E,Teatro Musical,10,teatro musical
ACO2890,Crítica Teatral (ACO2890),6,critica teatral (aco2890)
ACO2891,Seminario Abierto I (ACO2891),6,seminario abierto 1 (aco2891)
ACO2892,Danza,6,danza
ACO2893,Danza II,6,danza 2
ACO290E,Bailes Teatrales - Hombres,10,bailes teatrales - hombres
ACO292E,Bailes Teatrales - Mujeres,10,bailes teatrales - mujeres
ACO294E,Especialización para Actores / Voz Cantada,10,especializacion para actores / voz cantada
ACO296E,Realistic Theatre,10,realistic theatre
ACO298E,Teatro Chileno,10,teatro chileno
ACO299E,La Telenovela Latinoamericana: Teatralidad y Cultura,10,la telenovela latinoamericana: teatralidad y cultura
ACO3000,Antonin Artaud,10,antonin artaud
ACO300E,Taller Tecnica Actoral y Lenguaje Audiovisual,10,taller tecnica actoral y lenguaje audiovisual
ACO3020,Trabajo de la Mascara,10,trabajo de la mascara
ACO302E,Mascara y Realismo,10,mascara y realismo
ACO3030,Taller Experimental de Dramaturgia,10,taller experimental de dramaturgia
ACO3040,Taller de Expresión y Creatividad Corporal,10,taller de expresion y creatividad corporal
ACO304E,Teoría Postdramática y Teatro Chileno Contemporáneo,10,teoria postdramatica y teatro chileno contemporaneo
ACO3050,La Escritura Dramatico Teatral,8,la escritura dramatico teatral
ACO305E,La Palabra Como Sintoma,10,la palabra como sintoma
ACO306E,Vestuario y Decoración de Vestuario,10,vestuario y decoracion de vestuario
ACO310E,Practicas de Teatro Post-Dramatico,10,practicas de teatro post-dramatico
ACO320E,Introducción a la Investigación Escenica,10,introduccion a la investigacion escenica
ACO330E,Teatro y Espacio Público .Taller de Teatro Callejero,10,teatro y espacio publico .taller de teatro callejero
ACO340E,Gestión Cultural y Políticas Culturales,10,gestion cultural y politicas culturales
ACO350E,Práctica de Lugar para la Creación Espacial,10,practica de lugar para la creacion espacial
ACO360E,Proceso Crítico Teatral,10,proceso critico teatral
ACO380E,Poeticas de la Nueva Escena Chilena 1988-1995,10,poeticas de la nueva escena chilena 1988-1995
ACT1000,Percepción,12,percepcion
ACT101A,Taller de Montaje: Teatro Dramatico,15,taller de montaje: teatro dramatico
